,Shape,Shape_count
13177,diamond,884
13178,light,12895
13179,diamond,884
13180,chevron,774
13181,unknown,4359
13182,formation,1908
13183,light,12895
13184,other,4209
13185,circle,5890
13186,disk,3853
13187,light,12895
13188,sphere,4134
13189,changing,1517
13190,triangle,6268
13191,circle,5890
13192,light,12895
13193,cigar,1569
13194,triangle,6268
13195,fireball,4939
13196,fireball,4939
13197,light,12895
13198,rectangle,1010
13199,unknown,4359
13200,unknown,4359
13201,rectangle,1010
13202,rectangle,1010
13203,circle,5890
13204,oval,2881
13205,light,12895
13206,rectangle,1010
13207,triangle,6268
13208,light,12895
13209,circle,5890
13210,circle,5890
13211,cylinder,977
